Ville;adresse_full;Latitude;Longitude;participants_syndicats;source_syndicats;participants_police;participants_presse;source_presse;description_libre;lien
Sens;Sens France;48.20065;3.28268;;;;2500;L'Yonne;;https://www.lyonne.fr/auxerre-89000/actualites/suivez-en-direct-cette-journee-de-manifestations-contre-la-reforme-des-retraites-dans-l-yonne_14254618/
Nevers;Nevers France;46.990896;3.162845;;;;5000;Le Journal du Centre;;https://www.lejdc.fr/nevers-58000/actualites/vivez-en-direct-avec-nous-cette-nouvelle-journee-de-mobilisation-a-nevers-contre-la-reforme-des-retraites_14255097/
Montargis;Montargis France;47.99729;2.736291;;;3300;;;;https://www.larep.fr/orleans-45000/actualites/suivez-la-seconde-journee-de-mobilisation-contre-la-reforme-des-retraites-dans-le-loiret_14254536/
Annonay;Annonay France;45.239403;4.667349;;;7000;;;;https://www.francebleu.fr/infos/societe/en-direct-quelle-mobilisation-contre-la-reforme-des-retraites-en-drome-ardeche-5222468
Aubenas;Aubenas France;44.620909;4.389863;;;4000;;;;https://www.francebleu.fr/infos/societe/en-direct-quelle-mobilisation-contre-la-reforme-des-retraites-en-drome-ardeche-5222468
La Roche-sur-Yon;La Roche-sur-Yon France;46.670511;-1.426442;15000;intersyndicale;10000;;;;https://www.dna.fr/social/2023/01/31/haut-rhin-la-mobilisation-contre-la-reforme-des-retraites
Nancy;Nancy France;48.692054;6.184417;20000;CFDT;15000;;;;https://actu.fr/societe/direct-greve-du-31-janvier-contre-la-reforme-des-retraites-la-manifestation-a-nancy-et-metz_57001325.html
Roanne;Roanne France;46.034432;4.072695;14000;intersyndicale;6200;;;;https://www.leprogres.fr/social/2023/01/31/dans-la-loire-et-en-haute-loire-mobilisations-massives-contre-la-reforme-des-retraites
Morlaix;Morlaix France;48.577613;-3.828228;;;;10000;Ouest-France;;https://www.ouest-france.fr/economie/retraites/direct-reforme-des-retraites-greve-du-31-janvier-les-manifestations-a-brest-quimper-morlaix-a4e19778-a0c5-11ed-be8f-4d2939631a03
Quimperlé;Quimperlé France;47.87258600000001;-3.547546;;;5000;;;;https://www.ouest-france.fr/economie/retraites/direct-reforme-des-retraites-greve-du-31-janvier-les-manifestations-a-brest-quimper-morlaix-a4e19778-a0c5-11ed-be8f-4d2939631a03
Montbéliard;Montbéliard France;47.510356;6.798466;;;5000;;;;https://www.estrepublicain.fr/social/2023/01/31/greve-contre-la-reforme-des-retraites-en-franche-comte-suivez-la-journee-de-mobilisation
Dole;Dole France;47.09534;5.49081;;;3200;;;;https://www.leprogres.fr/social/2023/01/31/reforme-des-retraites-saint-claude-et-dole-dans-la-rue-ce-matin
Lons-le-Saunier;Lons-le-Saunier France;46.671361;5.550796;5000;CGT;3000;;;;https://www.leprogres.fr/social/2023/01/31/reforme-des-retraites-ils-sont-au-rendez-vous-place-de-la-liberte-a-lons
Chalon-sur-Saône;Chalon-sur-Saône France;46.780764;4.853947;;;;8250;Le Journal de Saône-et-Loire;Entre 6500 et 10 000 personnes ont défilé dans la rue, selon Le Journal de Saône-et-Loire.;https://www.lejsl.com/social/2023/01/31/en-direct-la-greve-generale-a-debute-a-louhans-en-saone-et-loire
Bar-le-Duc;Bar-le-Duc France;48.773605;5.158238000000001;;;;2000;L'Est Républicain;;https://www.estrepublicain.fr/social/2023/01/31/greve-contre-la-reforme-des-retraites-en-lorraine-suivez-la-journee-de-mobilisation
Aurillac;Aurillac France;44.930953;2.444997;5000;intersyndicale;2250;;;;https://actu.fr/auvergne-rhone-alpes/aurillac_15014/reformes-des-retraites-environ-2-500-manifestants-dans-les-rues-d-aurillac_57009654.html
Brive;Brive France;45.159555;1.533937;;;6000;;;;https://france3-regions.francetvinfo.fr/nouvelle-aquitaine/haute-vienne/limoges/greve-du-31-janvier-contre-la-reforme-des-retraites-suivez-la-deuxieme-journee-de-mobilisation-en-limousin-2704874.html
Ussel;Ussel France;45.548905;2.313835;;;;;;;
Moulins;Moulins France;46.568059;3.334417;5500;intersyndicale;;;;;https://www.lamontagne.fr/clermont-ferrand-63000/actualites/en-auvergne-et-limousin-suivez-la-journee-de-mobilisation-contre-la-reforme-des-retraites_14254530/
Montluçon;Montluçon France;46.3415466;2.6019912;;;;;;;
Vichy;Vichy France;46.131859;3.425488;4500;intersyndicale;3000;;;;https://www.lamontagne.fr/clermont-ferrand-63000/actualites/en-auvergne-et-limousin-suivez-la-journee-de-mobilisation-contre-la-reforme-des-retraites_14254530/
Chartres;Chartres France;48.44385399999999;1.489012;15000;;6000;7500;L'Echo républicain;;https://www.lechorepublicain.fr/dreux-28100/actualites/reforme-des-retraites-suivez-les-manifestations-en-eure-et-loir_14255044/
Auch;Auch France;43.64638;0.5867089999999999;6500;intersyndicale;4200;; ;;https://www.ladepeche.fr/2023/01/31/video-greve-du-31-janvier-un-nombre-record-de-manifestants-dans-les-rues-dauch-10964371.php
Annecy;Annecy France;45.899247;6.129384;10000;;5200;;;;https://www.ledauphine.com/social/2023/01/31/pays-de-savoie-suivez-la-deuxieme-journee-de-mobilisation-contre-les-retraites
Chambéry;Chambéry France;45.564601;5.917781;;;7500;;;7 000 à 8 000 selon les comptages;https://www.ledauphine.com/social/2023/01/31/pays-de-savoie-suivez-la-deuxieme-journee-de-mobilisation-contre-les-retraites
Albertville;Albertville France;45.675535;6.392726;;;3200;;;;https://www.ledauphine.com/social/2023/01/31/pays-de-savoie-suivez-la-deuxieme-journee-de-mobilisation-contre-les-retraites
Saint-Jean-de-Maurienne;Saint-Jean-de-Maurienne France;45.275403;6.344886;;;1500;;;;https://www.ledauphine.com/social/2023/01/31/pays-de-savoie-suivez-la-deuxieme-journee-de-mobilisation-contre-les-retraites
Digne-les-Bains;Digne-les-Bains France;44.09219299999999;6.235976;7000;;3600;;;3 500 à 3 700 selon la police;https://www.ledauphine.com/social/2023/01/31/manifestation-retraite-digne-les-bains-a-connu-une-solide-mobilisation-dans-les-rues
Arles;Arles France;43.676647;4.6277769;4000;CGT;;;;;https://www.midilibre.fr/2023/01/31/direct-suivez-la-deuxieme-journee-de-greve-interprofessionnelle-contre-la-reforme-des-retraites-de-ce-mardi-10963466.php
Ajaccio;Ajaccio France;41.919229;8.738635;;;1650;2500;France 3;;https://france3-regions.francetvinfo.fr/corse/reforme-des-retraites-plusieurs-milliers-de-personnes-manifestent-en-corse-2705278.html
Bastia;Bastia France;42.697283;9.450880999999999;;;2500;;;;https://www.corsenetinfos.corsica/Greve-contre-la-reforme-des-retraites-plus-de-2-000-personnes-dans-les-rues-de-Bastia_a69355.html
Rodez;Rodez France;44.349389;2.575986;14500;;7500;;;;https://www.centrepresseaveyron.fr/2023/01/31/direct-greve-du-31-janvier-230-rassemblements-11-000-gendarmes-et-policiers-mobilises-ce-mardi-10961760.php
Mende;Mende France;44.517611;3.501873;3000;;2200;;;;https://lemonde.sirius.press/news/4225029
