Ville;pays;adresse_full;participants_syndicats;source_syndicats;participants_police;participants_presse;source_presse;participants_occurrence;description_libre;lien
Cambrai;France;Cambrai France;;;;500;La Voix du Nord;;;https://www.lavoixdunord.fr/1315503/article/2023-04-13/direct-retraites-derniere-mobilisation-ce-jeudi-la-veille-du-verdict-du-conseil
Saint-Pierre, La Réunion;France;Saint-Pierre, La Réunion France;;;;500;La 1ere;;;https://la1ere.francetvinfo.fr/reunion/contre-la-reforme-des-retraites-l-intersyndicale-mobilisee-une-12eme-journee-a-saint-pierre-et-a-saint-denis-1384698.html
Bagnols-sur-Cèze;France;Bagnols-sur-Cèze France;;;;;;;;
Colmar;France;Colmar, France;;;600;;;;;
Romorantin;France;Romorantin France;;;;;;;;
Cannes;France;Cannes France;;;;;;;;
Pithiviers;France;Pithiviers France;300;CGT;;;;;;
Verdun;France;Verdun France;;;;300;L'Est Républicain;;;https://www.estrepublicain.fr/social/2023/04/13/reforme-des-retraites-en-meurthe-et-moselle-et-en-meuse-suivez-cette-douzieme-journee-de-manifestations
Granville;France;Granville France;;;;;;;;
Ussel;France;Ussel France;;;;;;;;
